commits,complexity,file,score
18,4337,"client/rest-high-level/src/main/java/org/elasticsearch/client/LicenseRequestConverters.java",0.0
157,46165,"client/rest-high-level/src/main/java/org/elasticsearch/client/MLRequestConverters.java",4.6
136,137368,"client/rest-high-level/src/main/java/org/elasticsearch/client/MachineLearningClient.java",11.9
19,2685,"client/rest-high-level/src/main/java/org/elasticsearch/client/MigrationClient.java",0.0
17,975,"client/rest-high-level/src/main/java/org/elasticsearch/client/MigrationRequestConverters.java",0.0
5,1735,"client/rest-high-level/src/main/java/org/elasticsearch/client/NodesResponse.java",0.0
5,4491,"client/rest-high-level/src/main/java/org/elasticsearch/client/NodesResponseHeader.java",0.0
288,56014,"client/rest-high-level/src/main/java/org/elasticsearch/client/RequestConverters.java",10.3
242,116844,"client/rest-high-level/src/main/java/org/elasticsearch/client/RestHighLevelClient.java",18.0
5,2169,"client/rest-high-level/src/main/java/org/elasticsearch/client/RethrottleRequest.java",0.0
23,16558,"client/rest-high-level/src/main/java/org/elasticsearch/client/RollupClient.java",0.2
29,4627,"client/rest-high-level/src/main/java/org/elasticsearch/client/RollupRequestConverters.java",0.1
4,4926,"client/rest-high-level/src/main/java/org/elasticsearch/client/SearchableSnapshotsClient.java",0.0
4,2594,"client/rest-high-level/src/main/java/org/elasticsearch/client/SearchableSnapshotsRequestConverters.java",0.0
68,68468,"client/rest-high-level/src/main/java/org/elasticsearch/client/SecurityClient.java",3.0
58,16892,"client/rest-high-level/src/main/java/org/elasticsearch/client/SecurityRequestConverters.java",0.6
43,22156,"client/rest-high-level/src/main/java/org/elasticsearch/client/SnapshotClient.java",0.6
24,10435,"client/rest-high-level/src/main/java/org/elasticsearch/client/SnapshotRequestConverters.java",0.2
19,6694,"client/rest-high-level/src/main/java/org/elasticsearch/client/TasksClient.java",0.1
15,3034,"client/rest-high-level/src/main/java/org/elasticsearch/client/TasksRequestConverters.java",0.0
4,3241,"client/rest-high-level/src/main/java/org/elasticsearch/client/TextStructureClient.java",0.0
4,4469,"client/rest-high-level/src/main/java/org/elasticsearch/client/TextStructureRequestConverters.java",0.0
17,1820,"client/rest-high-level/src/main/java/org/elasticsearch/client/TimedRequest.java",0.0
